Offence,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Homicide and related offences(i),2.1,1.5,1.8,1.4,1.4,1.3,1,1.3,1.4,1.2
Murder ,1.1,0.8,1.1,1,0.9,0.8,0.6,0.9,0.9,0.8
Attempted murder,0.8,0.5,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3
Manslaughter,0,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0
Assault(j),985.9,941.2,931.4,873.4,855.3,843.9,832.7,827.6,836.4,794.7
Sexual assault,97.3,104.4,109.7,109.1,113,113.7,125.3,128.2,136.1,138.1
Kidnapping/abduction(k),5.7,4.8,4.1,4.1,3.4,3.5,2.9,2.7,2.8,2
Homicide and related offences(i),1.7,1.6,1.4,1.8,1.6,1.8,2.3,1.3,1.6,1.5
Murder,1,0.8,0.8,1,0.9,1,0.9,0.8,0.8,1
Attempted murder,0.6,0.6,0.5,0.6,0.6,0.8,1.1,0.5,0.5,0.3
Manslaughter,0.2,0.3,0.1,0.1,0.1,0,0.3,0.1,0.3,0.3
Sexual assault,72.6,73.4,67.9,70.7,78.4,86.7,95.3,91.5,87.6,82.3
Kidnapping/abduction,2,2.1,2.4,2.1,2.1,2.2,2.2,1.9,2.4,2.1
